scope,dimension,n_pairs_with_data,mean_ac1_unweighted
Full(A+B+Baseline),C,3,0.7254
Full(A+B+Baseline),N,3,0.5787
Full(A+B+Baseline),U,3,0.4586
Full(A+B+Baseline),Accept,3,0.1475
A+B(channel),C,2,0.6673
A+B(channel),N,2,0.6823
A+B(channel),U,2,-0.0339
A+B(channel),Accept,2,-0.0227
A(GitHub),C,1,0.8111
A(GitHub),N,1,0.7114
A(GitHub),U,1,0.6381
A(GitHub),Accept,1,0.4744
B(NHTSA),C,2,0.6779
B(NHTSA),N,2,0.6939
B(NHTSA),U,2,-0.2393
B(NHTSA),Accept,2,-0.1502
Baseline,C,2,0.6851
Baseline,N,2,0.4917
Baseline,U,2,0.6664
Baseline,Accept,2,0.214
RQ3_FL_4rater(inclE1),C,6,0.5131
RQ3_FL_4rater(inclE1),N,6,0.8837
RQ3_FL_4rater(inclE1),U,6,0.5464
RQ3_FL_4rater(inclE1),Accept,6,0.5261
RQ3_FL_external(E2E3E4),C,3,0.4843
RQ3_FL_external(E2E3E4),N,3,0.8449
RQ3_FL_external(E2E3E4),U,3,0.4611
RQ3_FL_external(E2E3E4),Accept,3,0.4293
